#Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1881   -19  -13    4    6    7  -18    1   -2  -14  -21  -17   -6     -8  -9    -16    6   -6  -17  1881
1882    18   15    5  -15  -14  -22  -15   -6  -14  -23  -15  -35    -10  -8      9   -8  -14  -17  1882
1883   -28  -36  -12  -17  -17   -7   -6  -13  -20  -10  -22  -10    -16 -18    -33  -15   -8  -17  1883
1884   -12   -7  -35  -39  -34  -35  -31  -26  -26  -24  -32  -30    -28 -26    -10  -36  -31  -28  1884
1885   -58  -32  -25  -40  -44  -43  -33  -30  -27  -22  -23   -9    -32 -34    -40  -36  -35  -24  1885
1886   -43  -49  -42  -27  -23  -33  -17  -30  -23  -27  -26  -24    -30 -29    -34  -31  -27  -25  1886
1887   -71  -56  -35  -33  -29  -23  -25  -34  -25  -34  -25  -32    -35 -34    -50  -32  -27  -28  1887
1888   -33  -35  -40  -19  -21  -16  -10  -14  -11    2    4   -3    -16 -19    -33  -27  -13   -2  1888
1889    -7   18    6   10    0   -9   -7  -20  -23  -25  -33  -28    -10  -8      2    6  -12  -27  1889
1890   -41  -45  -40  -29  -39  -24  -28  -39  -36  -24  -43  -30    -35 -35    -38  -36  -30  -35  1890
1891   -33  -46  -18  -26  -16  -20  -17  -17  -15  -21  -31   -4    -22 -24    -36  -20  -18  -22  1891
1892   -28  -10  -40  -33  -23  -22  -31  -27  -16  -14  -41  -38    -27 -24    -14  -32  -27  -24  1892
1893   -81  -56  -22  -26  -34  -25  -14  -24  -22  -18  -18  -31    -31 -32    -58  -27  -21  -19  1893
1894   -52  -28  -22  -44  -30  -40  -24  -23  -28  -22  -25  -20    -30 -31    -37  -32  -29  -25  1894
1895   -40  -42  -32  -21  -27  -20  -16  -16  -12  -10  -16  -13    -22 -23    -34  -26  -17  -13  1895
1896   -21  -12  -26  -29  -15  -10   -2   -5   -7    7   -4   -4    -11 -11    -15  -23   -6   -1  1896
1897   -14  -16  -13   -2   -1  -11   -2   -9   -8  -12  -17  -19    -11  -9    -12   -5   -7  -13  1897
1898    -1  -28  -50  -29  -29  -18  -22  -25  -21  -34  -37  -22    -26 -26    -16  -36  -22  -31  1898
1899   -15  -38  -35  -19  -23  -31  -15   -8   -5   -4   13  -25    -17 -17    -25  -26  -18    2  1899
1900   -35   -5    1   -8   -8   -9  -12   -8   -5   10   -6   -6     -8  -9    -21   -5  -10    0  1900
1901   -21  -10    6   -2  -15  -12  -14  -20  -22  -28  -17  -27    -15 -13    -12   -3  -15  -23  1901
1902   -17   -7  -28  -28  -32  -30  -28  -29  -29  -28  -35  -41    -28 -26    -17  -29  -29  -31  1902
1903   -23   -5  -22  -40  -39  -42  -35  -45  -49  -48  -42  -50    -37 -36    -23  -34  -40  -46  1903
1904   -63  -57  -48  -49  -51  -48  -51  -48  -56  -39  -18  -33    -47 -48    -57  -50  -49  -37  1904
1905   -35  -59  -22  -34  -29  -28  -26  -20  -20  -25   -7  -13    -26 -28    -42  -28  -25  -17  1905
1906   -28  -29  -18   -5  -26  -20  -23  -19  -29  -20  -37  -14    -22 -22    -23  -16  -21  -29  1906
1907   -42  -50  -27  -36  -47  -42  -35  -33  -35  -23  -46  -46    -39 -36    -35  -37  -37  -35  1907
1908   -43  -32  -56  -44  -38  -38  -35  -45  -36  -44  -51  -48    -43 -42    -40  -46  -39  -44  1908
1909   -72  -47  -55  -58  -54  -51  -45  -33  -38  -39  -32  -55    -48 -48    -56  -56  -43  -37  1909
1910   -41  -40  -50  -42  -34  -38  -34  -36  -39  -40  -54  -67    -43 -42    -45  -42  -36  -44  1910
1911   -62  -57  -61  -53  -51  -49  -41  -44  -41  -26  -21  -21    -44 -48    -62  -55  -45  -29  1911
1912   -25  -14  -38  -17  -21  -23  -42  -54  -58  -57  -38  -43    -36 -34    -20  -25  -40  -51  1912
1913   -40  -45  -43  -39  -44  -45  -36  -33  -35  -32  -19   -2    -34 -38    -43  -42  -38  -29  1913
1914     5  -10  -24  -29  -21  -25  -23  -16  -17   -4  -15   -4    -15 -15     -2  -25  -22  -12  1914
1915   -20   -4  -10    7   -6  -22  -13  -22  -21  -24  -13  -22    -14 -13     -9   -3  -19  -19  1915
1916   -12  -14  -28  -30  -34  -49  -37  -28  -36  -33  -46  -82    -36 -31    -16  -31  -38  -38  1916
1917   -57  -63  -64  -54  -55  -43  -26  -22  -23  -44  -33  -67    -46 -47    -67  -58  -30  -33  1917
1918   -47  -34  -25  -43  -43  -36  -31  -31  -17   -6  -11  -29    -29 -33    -49  -37  -33  -11  1918
1919   -20  -24  -21  -12  -28  -36  -29  -33  -25  -20  -41  -42    -27 -26    -24  -20  -32  -29  1919
1920   -24  -26  -12  -24  -27  -36  -30  -27  -22  -27  -26  -46    -27 -27    -31  -21  -31  -25  1920
1921    -5  -18  -23  -30  -30  -27  -15  -26  -19   -3  -14  -18    -19 -21    -23  -28  -23  -12  1921
